student_id,arrival_time_day_1,arrival_time_day_2,preference_day_1,preference_day_2
1,14:01,12:54,"[3, 5, 9, 19]","[4, 16, 15]"
2,13:39,14:02,"[4, 7, 13, 16, 20]","[1, 13, 14, 20]"
3,14:50,13:22,"[4, 8, 9, 11, 15]","[1, 13, 18, 20, 19]"
4,14:45,11:44,"[1, 7, 8, 14, 17]","[8, 15, 16, 18]"
5,11:15,15:07,"[8, 12, 15, 19]","[1, 10, 14]"
6,12:24,14:08,"[4, 6, 10, 18]","[4, 11, 17]"
7,13:53,11:30,"[7, 10, 14, 17, 19]","[16, 19]"
8,17:11,17:05,"[2, 8, 13, 16, 17]","[6, 13, 14]"
9,17:31,12:07,"[3, 12, 18, 20]","[4, 15, 17]"
10,12:29,11:52,"[6, 12, 13, 16, 17]","[1, 2, 10, 13, 16]"
11,11:09,12:21,"[6, 20]","[8, 17]"
12,14:35,12:28,"[1, 7, 8, 18]","[12, 13, 17]"
13,16:52,13:24,"[12, 19]","[9, 15]"
14,16:42,11:23,"[1, 5, 13, 18, 17]","[2, 7, 14, 17, 18]"
15,14:11,14:54,"[7, 12, 14, 16, 18]","[12, 16]"
16,15:54,12:31,"[1, 12, 11, 14, 15]","[1, 6, 8, 20]"
17,14:37,13:53,"[18, 19]","[3, 6, 18]"
18,17:32,13:33,"[2, 3, 9]","[1, 3, 15, 19]"
19,13:35,13:33,"[8, 9, 20]","[4, 6]"
20,11:23,13:07,"[3, 6, 10, 12, 17]","[9, 17]"
21,15:16,14:45,"[6, 9]","[10, 11, 15]"
22,13:01,17:15,"[1, 4, 16, 20]","[10, 13]"
23,13:13,13:12,"[4, 7, 9, 11, 14]","[7, 9, 14, 17]"
24,16:16,16:48,"[1, 8]","[1, 2, 5, 13]"
25,15:34,15:14,"[6, 14, 15, 17]","[8, 15, 18, 17, 19]"
26,13:52,14:44,"[1, 11, 13, 14, 17]","[2, 5, 10]"
27,11:05,16:59,"[2, 3, 7, 10, 17]","[6, 10, 14, 20]"
28,16:16,16:35,"[1, 5, 9, 19]","[2, 6, 7, 15, 18]"
29,13:19,15:58,"[2, 17, 20]","[4, 7, 12, 13, 19]"
30,14:33,16:02,"[7, 14, 19]","[4, 13, 16]"
31,16:36,16:55,"[1, 10, 11, 16, 17]","[1, 10, 13, 20]"
32,13:18,16:44,"[6, 7, 11]","[5, 11, 14, 19]"
33,16:21,15:12,"[4, 7, 9, 12, 13]","[16, 18, 20]"
34,12:12,17:01,"[2, 3, 8]","[3, 5, 6]"
35,12:05,17:01,"[6, 18]","[7, 9, 11]"
36,11:10,14:33,"[17, 20]","[4, 9, 12, 11, 18]"
37,11:10,13:38,"[4, 5, 8, 10, 16]","[2, 11]"
38,12:45,17:24,"[3, 5, 14, 13]","[4, 3, 5, 11, 13]"
39,15:47,16:52,"[18, 19]","[3, 8, 9, 19]"
40,15:41,16:52,"[10, 12]","[4, 18, 19]"
41,15:33,14:54,"[9, 15]","[2, 4, 10]"
42,17:14,13:03,"[1, 20]","[2, 3, 4, 14]"
43,13:53,15:54,"[6, 7, 8, 14]","[4, 15]"
44,14:11,17:02,"[4, 6, 8, 20]","[14, 13]"
45,13:50,11:29,"[10, 18, 20]","[9, 11, 16]"
46,15:32,13:13,"[2, 1, 4, 7, 11]","[1, 10]"
47,16:47,12:54,"[11, 13, 15, 20]","[3, 11, 13]"
48,15:44,16:26,"[3, 4, 11, 15]","[7, 9, 12, 16, 18]"
49,13:45,17:31,"[6, 9]","[7, 10, 18]"
50,12:09,17:38,"[3, 7, 8, 9, 12]","[3, 15, 20]"
51,13:09,15:52,"[8, 11, 13, 19]","[2, 10, 11]"
52,12:46,11:16,"[6, 11]","[8, 10, 11, 19]"
53,16:00,13:50,"[4, 18]","[3, 20, 19]"
54,13:43,13:51,"[1, 8, 13, 20, 19]","[3, 9]"
55,16:10,11:19,"[3, 18, 19]","[1, 20]"
56,14:41,12:02,"[5, 10, 12, 16, 18]","[4, 3, 6, 11, 17]"
57,13:00,15:41,"[6, 5]","[5, 10, 11]"
58,12:15,15:01,"[4, 5, 7, 10, 17]","[5, 18]"
59,11:48,13:48,"[2, 11]","[18, 20]"
60,11:48,13:03,"[6, 7, 10]","[2, 6, 8, 14, 18]"
61,12:50,14:19,"[3, 9, 14, 15, 20]","[1, 15, 18, 20, 19]"
62,11:18,13:23,"[6, 9, 11, 13, 16]","[1, 2, 12, 14, 20]"
63,14:50,13:38,"[5, 19]","[5, 19, 20]"
64,17:32,15:39,"[9, 13, 20]","[13, 19]"
65,13:16,15:44,"[1, 3, 6, 8, 16]","[6, 11, 17, 19]"
66,13:33,14:48,"[8, 15, 19]","[11, 16]"
67,16:45,15:40,"[8, 14, 16]","[2, 8, 9, 11, 18]"
68,13:52,13:44,"[3, 17]","[6, 7, 10, 12, 17]"
69,13:50,13:19,"[10, 20]","[6, 12, 15, 18]"
70,13:19,14:47,"[3, 20]","[4, 13, 17]"
71,11:42,15:13,"[6, 5, 9]","[2, 7, 14, 13, 16]"
72,14:46,11:44,"[2, 6, 12, 13, 17]","[3, 4, 9, 17, 18]"
73,12:18,12:59,"[3, 5, 8, 15, 20]","[6, 11, 13, 14, 20]"
74,17:00,11:33,"[4, 5, 7, 15, 16]","[14, 18, 20]"
75,12:55,11:01,"[4, 10, 9]","[1, 8, 7, 13, 18]"
76,16:40,11:53,"[1, 8, 15, 17, 18]","[7, 9]"
