Day,Time,Event,len(Queue)
1,11:03,Student 240 arrives Art Fair,NA
1,11:04,Student 106 arrives Art Fair,NA
1,11:05,Student 27 arrives Art Fair,NA
1,11:05,Student 214 arrives Art Fair,NA
1,11:07,Student 214 arrives at booth 3,1
1,11:08,Student 27 arrives at booth 6,1
1,11:08,Student 144 arrives Art Fair,NA
1,11:08,Student 282 arrives Art Fair,NA
1,11:09,Student 11 arrives Art Fair,NA
1,11:09,Student 136 arrives Art Fair,NA
1,11:10,Student 36 arrives Art Fair,NA
1,11:10,Student 37 arrives Art Fair,NA
1,11:10,Student 83 arrives Art Fair,NA
1,11:10,Student 240 arrives at booth 14,1
1,11:11,Student 144 arrives at booth 6,1
1,11:11,Student 150 arrives Art Fair,NA
1,11:11,Student 211 arrives Art Fair,NA
1,11:11,Student 214 departs at booth 3,0
1,11:11,Student 27 departs at booth 6,1
1,11:12,Student 106 arrives at booth 16,1
1,11:13,Student 37 arrives at booth 6,1
1,11:13,Student 214 arrives at booth 7,1
1,11:13,Student 225 arrives Art Fair,NA
1,11:13,Student 245 arrives Art Fair,NA
1,11:14,Student 211 arrives at booth 5,1
1,11:14,Student 144 departs at booth 6,1
1,11:14,Student 240 departs at booth 14,0
1,11:14,Student 144 arrives at booth 5,1
1,11:15,Student 5 arrives Art Fair,NA
1,11:15,Student 136 arrives at booth 12,1
1,11:15,Student 273 arrives Art Fair,NA
1,11:15,Student 214 departs at booth 7,0
1,11:16,Student 130 arrives Art Fair,NA
1,11:16,Student 150 arrives at booth 9,1
1,11:17,Student 5 arrives at booth 4,1
1,11:17,Student 11 arrives at booth 16,1
1,11:17,Student 27 arrives at booth 18,1
1,11:17,Student 83 arrives at booth 13,1
1,11:17,Student 211 departs at booth 5,1
1,11:17,Student 37 departs at booth 6,0
1,11:18,Student 36 arrives at booth 15,1
1,11:18,Student 62 arrives Art Fair,NA
1,11:18,Student 214 arrives at booth 1,1
1,11:18,Student 282 arrives at booth 20,1
1,11:18,Student 150 departs at booth 9,0
1,11:18,Student 83 departs at booth 13,0
1,11:19,Student 211 arrives at booth 1,1
1,11:19,Student 240 arrives at booth 3,1
1,11:19,Student 136 departs at booth 12,0
1,11:19,Student 282 departs at booth 20,0
1,11:20,Student 62 arrives at booth 3,1
1,11:20,Student 192 arrives Art Fair,NA
1,11:20,Student 225 arrives at booth 13,1
1,11:20,Student 228 arrives Art Fair,NA
1,11:20,Student 282 arrives at booth 17,1
1,11:20,Student 288 arrives Art Fair,NA
1,11:20,Student 5 departs at booth 4,0
1,11:20,Student 144 departs at booth 5,0
1,11:20,Student 36 departs at booth 15,0
1,11:20,Student 106 departs at booth 16,1
1,11:21,Student 115 arrives Art Fair,NA
1,11:21,Student 245 arrives at booth 16,1
1,11:21,Student 273 arrives at booth 12,1
1,11:21,Student 214 departs at booth 1,1
1,11:21,Student 225 departs at booth 13,0
1,11:21,Student 27 departs at booth 18,0
1,11:21,Student 214 arrives at booth 2,1
1,11:22,Student 83 arrives at booth 6,1
1,11:22,Student 150 arrives at booth 2,1
1,11:22,Student 225 arrives at booth 16,2
1,11:22,Student 214 departs at booth 2,1
1,11:23,Student 20 arrives Art Fair,NA
1,11:23,Student 37 arrives at booth 18,1
1,11:23,Student 150 departs at booth 2,0
1,11:23,Student 240 departs at booth 3,1
1,11:24,Student 5 arrives at booth 11,1
1,11:24,Student 106 arrives at booth 8,1
1,11:24,Student 130 arrives at booth 16,3
1,11:24,Student 136 arrives at booth 1,1
1,11:24,Student 139 arrives Art Fair,NA
1,11:24,Student 144 arrives at booth 13,1
1,11:24,Student 238 arrives Art Fair,NA
1,11:24,Student 211 departs at booth 1,1
1,11:25,Student 83 departs at booth 6,0
1,11:25,Student 273 departs at booth 12,0
1,11:25,Student 144 departs at booth 13,0
1,11:25,Student 83 arrives at booth 5,1
1,11:26,Student 27 arrives at booth 7,1
1,11:26,Student 36 arrives at booth 4,1
