Day,Time,Event,len(Queue)
1,11:01,Student 2 arrives Art Fair,NA
1,11:02,Student 2 arrives at booth 2,1
1,11:02,Student 4 arrives Art Fair,NA
1,11:05,Student 4 arrives at booth 6,1
1,11:06,Student 2 departs at booth 2,0
1,11:07,Student 2 arrives at booth 4,1
1,11:07,Student 4 departs at booth 6,0
1,11:08,Student 4 arrives at booth 7,1
1,11:08,Student 81 arrives Art Fair,NA
1,11:10,Student 4 departs at booth 7,0
1,11:11,Student 81 arrives at booth 6,1
1,11:12,Student 4 arrives at booth 12,1
1,11:12,Student 13 arrives Art Fair,NA
1,11:12,Student 27 arrives Art Fair,NA
1,11:13,Student 81 departs at booth 6,0
1,11:14,Student 13 arrives at booth 3,1
1,11:15,Student 27 arrives at booth 5,1
1,11:15,Student 81 arrives at booth 9,1
1,11:15,Student 2 departs at booth 4,0
1,11:16,Student 1 arrives Art Fair,NA
1,11:16,Student 4 departs at booth 12,0
1,11:17,Student 1 arrives at booth 1,1
1,11:18,Student 2 arrives at booth 10,1
1,11:19,Student 33 arrives Art Fair,NA
1,11:19,Student 1 departs at booth 1,0
1,11:20,Student 4 arrives at booth 20,1
1,11:20,Student 33 arrives at booth 1,1
1,11:20,Student 2 departs at booth 10,0
1,11:22,Student 1 arrives at booth 7,1
1,11:22,Student 2 arrives at booth 14,1
1,11:22,Student 33 departs at booth 1,0
1,11:22,Student 13 departs at booth 3,0
1,11:22,Student 81 departs at booth 9,0
1,11:22,Student 13 arrives at booth 4,1
1,11:22,Student 33 arrives at booth 2,1
1,11:22,Student 81 arrives at booth 10,1
1,11:23,Student 14 arrives Art Fair,NA
1,11:24,Student 24 arrives Art Fair,NA
1,11:24,Student 1 departs at booth 7,0
1,11:24,Student 81 departs at booth 10,0
1,11:24,Student 4 departs at booth 20,0
1,11:25,Student 4 departs Art Fair,NA
1,11:25,Student 14 arrives at booth 3,1
1,11:25,Student 24 arrives at booth 2,1
1,11:25,Student 27 departs at booth 5,0
1,11:26,Student 27 arrives at booth 8,1
1,11:26,Student 33 departs at booth 2,1
1,11:27,Student 1 arrives at booth 13,1
1,11:27,Student 33 arrives at booth 3,1
1,11:27,Student 56 arrives Art Fair,NA
1,11:28,Student 85 arrives Art Fair,NA
1,11:29,Student 56 arrives at booth 3,2
1,11:29,Student 81 departs Art Fair,NA
1,11:29,Student 85 arrives at booth 1,1
1,11:29,Student 1 departs at booth 13,0
1,11:30,Student 74 arrives Art Fair,NA
1,11:30,Student 24 departs at booth 2,0
1,11:30,Student 13 departs at booth 4,0
1,11:30,Student 27 departs at booth 8,0
1,11:30,Student 2 departs at booth 14,0
1,11:31,Student 24 arrives at booth 3,3
1,11:31,Student 27 arrives at booth 10,1
1,11:31,Student 85 departs at booth 1,0
1,11:31,Student 85 arrives at booth 2,1
1,11:32,Student 95 arrives Art Fair,NA
1,11:33,Student 1 departs Art Fair,NA
1,11:33,Student 2 arrives at booth 19,1
1,11:33,Student 95 arrives at booth 2,1
1,11:33,Student 14 departs at booth 3,3
1,11:33,Student 27 departs at booth 10,0
1,11:34,Student 13 arrives at booth 11,1
1,11:34,Student 14 arrives at booth 5,1
1,11:34,Student 26 arrives Art Fair,NA
1,11:34,Student 27 arrives at booth 12,1
1,11:35,Student 66 arrives Art Fair,NA
1,11:35,Student 74 arrives at booth 9,1
1,11:35,Student 85 departs at booth 2,1
1,11:35,Student 13 departs at booth 11,0
1,11:37,Student 26 arrives at booth 5,1
1,11:37,Student 85 arrives at booth 6,1
1,11:38,Student 66 arrives at booth 6,1
1,11:38,Student 92 arrives Art Fair,NA
1,11:38,Student 27 departs at booth 12,0
1,11:38,Student 2 departs at booth 19,0
1,11:39,Student 2 departs Art Fair,NA
1,11:39,Student 13 arrives at booth 20,1
1,11:39,Student 27 arrives at booth 13,1
1,11:39,Student 92 arrives at booth 2,1
1,11:39,Student 95 departs at booth 2,1
1,11:39,Student 85 departs at booth 6,1
1,11:40,Student 72 arrives Art Fair,NA
1,11:40,Student 95 arrives at booth 4,1
1,11:41,Student 72 arrives at booth 1,1
1,11:41,Student 33 departs at booth 3,2
1,11:41,Student 66 departs at booth 6,0
1,11:41,Student 27 departs at booth 13,0
1,11:42,Student 27 arrives at booth 15,1
1,11:42,Student 85 arrives at booth 11,1
1,11:42,Student 74 departs at booth 9,0
1,11:43,Student 33 departs Art Fair,NA
1,11:43,Student 66 arrives at booth 10,1
1,11:43,Student 74 arrives at booth 11,1
1,11:43,Student 72 departs at booth 1,0
1,11:43,Student 92 departs at booth 2,0
1,11:43,Student 85 departs at booth 11,1
1,11:43,Student 13 departs at booth 20,0
1,11:44,Student 13 departs Art Fair,NA
1,11:44,Student 85 arrives at booth 14,1
1,11:44,Student 92 arrives at booth 4,1
1,11:44,Student 14 departs at booth 5,1
1,11:44,Student 74 departs at booth 11,0
1,11:44,Student 27 departs at booth 15,0
1,11:45,Student 14 arrives at booth 7,1
1,11:45,Student 37 arrives Art Fair,NA
1,11:45,Student 72 arrives at booth 6,1
1,11:45,Student 66 departs at booth 10,0
1,11:46,Student 66 arrives at booth 11,1
1,11:46,Student 74 arrives at booth 16,1
1,11:47,Student 27 departs Art Fair,NA
1,11:47,Student 72 departs at booth 6,0
1,11:47,Student 14 departs at booth 7,0
1,11:47,Student 66 departs at booth 11,0
1,11:48,Student 14 arrives at booth 9,1
1,11:48,Student 95 departs at booth 4,1
1,11:48,Student 74 departs at booth 16,0
1,11:49,Student 74 arrives at booth 18,1
1,11:49,Student 95 arrives at booth 5,1
1,11:49,Student 56 departs at booth 3,1
1,11:50,Student 37 arrives at booth 9,1
1,11:52,Student 66 departs Art Fair,NA
1,11:52,Student 72 arrives at booth 15,1
1,11:52,Student 85 departs at booth 14,0
1,11:53,Student 56 arrives at booth 11,1
1,11:53,Student 85 arrives at booth 16,1
1,11:54,Student 26 departs at booth 5,1
1,11:54,Student 56 departs at booth 11,0
1,11:54,Student 72 departs at booth 15,0
1,11:54,Student 26 arrives at booth 6,1
1,11:55,Student 56 arrives at booth 13,1
1,11:55,Student 14 departs at booth 9,1
1,11:55,Student 85 departs at booth 16,0
1,11:56,Student 14 arrives at booth 12,1
1,11:56,Student 20 arrives Art Fair,NA
1,11:56,Student 92 departs at booth 4,0
1,11:56,Student 26 departs at booth 6,0
1,11:57,Student 20 arrives at booth 2,1
1,11:57,Student 26 arrives at booth 7,1
1,11:57,Student 72 departs Art Fair,NA
1,11:57,Student 24 departs at booth 3,0
1,11:57,Student 56 departs at booth 13,0
1,11:57,Student 24 arrives at booth 4,1
1,11:58,Student 85 departs Art Fair,NA
1,11:59,Student 56 arrives at booth 18,1
1,11:59,Student 26 departs at booth 7,0
1,11:59,Student 74 departs at booth 18,1
1,12:00,Student 19 arrives Art Fair,NA
1,12:00,Student 26 arrives at booth 10,1
1,12:00,Student 74 arrives at booth 20,1
1,12:00,Student 92 arrives at booth 11,1
1,12:00,Student 14 departs at booth 12,0
1,12:01,Student 20 departs at booth 2,0
1,12:01,Student 92 departs at booth 11,0
1,12:02,Student 20 arrives at booth 4,1
1,12:02,Student 92 arrives at booth 14,1
1,12:02,Student 37 departs at booth 9,0
1,12:02,Student 26 departs at booth 10,0
1,12:03,Student 11 arrives Art Fair,NA
1,12:03,Student 17 arrives Art Fair,NA
1,12:03,Student 19 arrives at booth 5,1
1,12:04,Student 11 arrives at booth 1,1
1,12:04,Student 14 arrives at booth 19,1
1,12:04,Student 17 arrives at booth 2,1
1,12:04,Student 95 departs at booth 5,1
1,12:04,Student 74 departs at booth 20,0
1,12:05,Student 26 arrives at booth 16,1
1,12:05,Student 37 arrives at booth 15,1
1,12:05,Student 74 departs Art Fair,NA
1,12:05,Student 24 departs at booth 4,1
1,12:06,Student 11 departs at booth 1,0
1,12:07,Student 70 arrives Art Fair,NA
1,12:07,Student 95 arrives at booth 11,1
1,12:07,Student 37 departs at booth 15,0
1,12:07,Student 26 departs at booth 16,0
1,12:08,Student 11 arrives at booth 6,1
1,12:08,Student 26 arrives at booth 17,1
1,12:08,Student 37 arrives at booth 18,1
1,12:08,Student 17 departs at booth 2,0
1,12:08,Student 95 departs at booth 11,0
1,12:09,Student 24 arrives at booth 12,1
1,12:09,Student 56 departs at booth 18,1
1,12:09,Student 14 departs at booth 19,0
1,12:10,Student 14 departs Art Fair,NA
1,12:10,Student 56 arrives at booth 19,1
1,12:10,Student 70 arrives at booth 6,1
1,12:10,Student 11 departs at booth 6,1
1,12:10,Student 92 departs at booth 14,0
1,12:11,Student 11 arrives at booth 8,1
1,12:11,Student 92 arrives at booth 15,1
1,12:12,Student 17 arrives at booth 9,1
1,12:12,Student 95 arrives at booth 19,1
1,12:12,Student 70 departs at booth 6,0
1,12:13,Student 70 arrives at booth 7,1
1,12:13,Student 20 departs at booth 4,0
1,12:13,Student 24 departs at booth 12,0
1,12:13,Student 92 departs at booth 15,0
1,12:14,Student 20 arrives at booth 5,1
1,12:14,Student 60 arrives Art Fair,NA
1,12:14,Student 92 arrives at booth 18,1
1,12:14,Student 19 departs at booth 5,1
1,12:15,Student 60 arrives at booth 1,1
1,12:15,Student 70 departs at booth 7,0
1,12:15,Student 11 departs at booth 8,0
1,12:15,Student 56 departs at booth 19,1
1,12:16,Student 19 arrives at booth 10,1
1,12:16,Student 24 arrives at booth 18,2
1,12:16,Student 56 departs Art Fair,NA
1,12:17,Student 70 arrives at booth 12,1
1,12:17,Student 60 departs at booth 1,0
1,12:17,Student 60 arrives at booth 2,1
1,12:18,Student 19 departs at booth 10,0
1,12:18,Student 26 departs at booth 17,0
1,12:19,Student 19 arrives at booth 11,1
1,12:19,Student 17 departs at booth 9,0
1,12:19,Student 37 departs at booth 18,2
1,12:20,Student 26 departs Art Fair,NA
1,12:20,Student 37 arrives at booth 19,1
1,12:20,Student 19 departs at booth 11,0
1,12:20,Student 95 departs at booth 19,1
1,12:20,Student 95 arrives at booth 20,1
1,12:21,Student 11 arrives at booth 19,1
1,12:21,Student 17 arrives at booth 14,1
1,12:21,Student 60 departs at booth 2,0
1,12:21,Student 70 departs at booth 12,0
1,12:22,Student 19 arrives at booth 15,1
1,12:22,Student 39 arrives Art Fair,NA
1,12:23,Student 39 arrives at booth 2,1
1,12:23,Student 60 arrives at booth 6,1
1,12:24,Student 20 departs at booth 5,0
1,12:24,Student 19 departs at booth 15,0
1,12:24,Student 95 departs at booth 20,0
1,12:25,Student 95 departs Art Fair,NA
1,12:25,Student 60 departs at booth 6,0
1,12:25,Student 37 departs at booth 19,1
1,12:26,Student 37 departs Art Fair,NA
1,12:26,Student 40 arrives Art Fair,NA
1,12:26,Student 60 arrives at booth 8,1
1,12:26,Student 70 departs Art Fair,NA
1,12:27,Student 19 departs Art Fair,NA
1,12:27,Student 20 departs Art Fair,NA
1,12:27,Student 39 departs at booth 2,0
1,12:29,Student 39 arrives at booth 5,1
1,12:29,Student 17 departs at booth 14,0
1,12:29,Student 92 departs at booth 18,1
1,12:30,Student 60 departs at booth 8,0
1,12:30,Student 11 departs at booth 19,0
1,12:30,Student 11 arrives at booth 20,1
1,12:31,Student 17 arrives at booth 17,1
1,12:31,Student 40 arrives at booth 9,1
1,12:31,Student 60 arrives at booth 10,1
1,12:31,Student 92 departs Art Fair,NA
1,12:33,Student 51 arrives Art Fair,NA
1,12:33,Student 60 departs at booth 10,0
1,12:34,Student 47 arrives Art Fair,NA
1,12:34,Student 65 arrives Art Fair,NA
1,12:34,Student 94 arrives Art Fair,NA
1,12:34,Student 11 departs at booth 20,0
1,12:35,Student 11 departs Art Fair,NA
1,12:35,Student 47 arrives at booth 1,1
1,12:35,Student 51 arrives at booth 4,1
1,12:37,Student 18 arrives Art Fair,NA
1,12:37,Student 94 arrives at booth 6,1
1,12:37,Student 47 departs at booth 1,0
1,12:38,Student 18 arrives at booth 2,1
1,12:38,Student 60 departs Art Fair,NA
1,12:38,Student 40 departs at booth 9,0
1,12:39,Student 47 arrives at booth 6,1
1,12:39,Student 65 arrives at booth 10,1
1,12:39,Student 39 departs at booth 5,0
1,12:39,Student 94 departs at booth 6,1
1,12:39,Student 24 departs at booth 18,0
1,12:40,Student 40 arrives at booth 14,1
1,12:41,Student 24 departs Art Fair,NA
1,12:41,Student 76 arrives Art Fair,NA
1,12:41,Student 47 departs at booth 6,0
1,12:41,Student 65 departs at booth 10,0
1,12:41,Student 17 departs at booth 17,0
1,12:42,Student 39 arrives at booth 11,1
1,12:42,Student 47 arrives at booth 8,1
1,12:42,Student 94 arrives at booth 11,2
1,12:42,Student 18 departs at booth 2,0
1,12:43,Student 17 departs Art Fair,NA
1,12:43,Student 65 arrives at booth 14,1
1,12:43,Student 51 departs at booth 4,0
1,12:43,Student 39 departs at booth 11,1
1,12:44,Student 76 arrives at booth 5,1
1,12:44,Student 80 arrives Art Fair,NA
1,12:44,Student 94 departs at booth 11,0
1,12:45,Student 18 arrives at booth 8,1
1,12:46,Student 25 arrives Art Fair,NA
1,12:46,Student 39 arrives at booth 17,1
1,12:46,Student 80 arrives at booth 4,1
1,12:46,Student 47 departs at booth 8,1
1,12:47,Student 47 arrives at booth 9,1
1,12:47,Student 51 arrives at booth 11,1
1,12:47,Student 94 arrives at booth 17,1
1,12:48,Student 25 arrives at booth 3,1
1,12:48,Student 51 departs at booth 11,0
1,12:48,Student 40 departs at booth 14,1
1,12:49,Student 40 arrives at booth 16,1
1,12:49,Student 51 arrives at booth 13,1
1,12:50,Student 100 arrives Art Fair,NA
1,12:50,Student 18 departs at booth 8,0
1,12:51,Student 51 departs at booth 13,0
1,12:51,Student 40 departs at booth 16,0
1,12:52,Student 18 arrives at booth 11,1
1,12:52,Student 40 arrives at booth 17,2
1,12:53,Student 18 departs at booth 11,0
1,12:54,Student 80 departs at booth 4,0
