student_id,arrival_time_day_1,arrival_time_day_2,preference_day_1,preference_day_2
1,15:57,13:07,"[1, 2, 10, 11, 16, 17]","[7, 12, 15, 16, 18]"
2,13:15,12:29,"[5, 9, 15, 17, 18, 20]","[8, 11, 13, 20]"
3,12:09,15:17,"[2, 5, 16]","[2, 5, 10, 16, 17, 18]"
4,15:05,12:43,"[1, 4, 5, 7, 8, 14]","[3, 4, 9, 10, 18]"
5,15:47,15:42,"[1, 5, 15, 16, 18]","[1, 5, 6, 7, 18, 20]"
6,13:50,17:21,"[6, 9, 11, 12, 18]","[5, 6, 10, 14, 16]"
7,15:05,12:07,"[1, 3, 18]","[1, 8, 9, 16, 20]"
8,14:12,16:49,"[3, 5, 14, 17]","[9, 12, 13, 20]"
9,14:54,12:12,"[4, 9, 12]","[1, 10, 20]"
10,15:22,11:34,"[10, 12, 18]","[3, 8, 9, 11, 13, 19]"
11,16:25,17:29,"[1, 9, 16, 17]","[1, 4, 5, 8, 9, 13]"
12,16:05,12:52,"[6, 8, 10, 15, 16, 20]","[3, 4, 9]"
13,15:52,13:54,"[3, 5, 6, 8, 18]","[6, 11, 14]"
14,13:28,16:15,"[1, 2, 11, 20]","[4, 7, 12, 14, 16, 19]"
15,12:45,15:21,"[1, 7, 12]","[1, 4, 9, 11, 15, 18]"
16,15:30,15:33,"[1, 4, 12, 20]","[4, 12, 18, 19, 20]"
17,11:12,16:54,"[1, 9, 11, 15, 20]","[4, 8, 10, 11, 17]"
18,15:27,11:09,"[6, 8, 9, 10, 13, 16]","[4, 15, 16]"
19,11:02,16:27,"[11, 12, 13, 16, 18, 20]","[1, 2, 10, 16, 20]"
20,16:44,12:56,"[3, 4, 11, 13, 17]","[3, 8, 12, 16, 17, 18]"
21,13:17,13:36,"[2, 8, 13, 14, 15, 18]","[10, 11, 12, 19]"
22,14:20,11:01,"[1, 12, 19]","[3, 4, 12, 13, 18]"
23,12:44,11:42,"[4, 11, 13, 16]","[1, 4, 10, 15, 18, 20]"
24,14:01,12:38,"[4, 5, 7, 8, 10, 19]","[2, 5, 6, 9, 11, 19]"
25,13:31,16:17,"[7, 10, 15, 18, 20]","[1, 9, 10, 13, 16]"
26,11:52,15:18,"[2, 9, 12, 14, 16, 20]","[4, 9, 15, 16]"
27,14:01,17:17,"[4, 8, 9, 14, 16]","[3, 10, 14, 18, 20]"
28,15:37,14:23,"[14, 16, 17, 19, 20]","[5, 7, 8, 15]"
29,15:06,14:27,"[3, 11, 20]","[1, 10, 15, 17, 20]"
30,16:41,16:00,"[2, 5, 12, 14, 16, 19]","[3, 8, 12, 14]"
31,11:42,13:22,"[5, 6, 11]","[1, 6, 17, 18]"
32,12:21,13:55,"[7, 17, 18, 19]","[5, 7, 18]"
33,11:51,17:29,"[2, 3, 5, 6, 17]","[2, 5, 11, 13, 16, 18]"
34,15:26,17:34,"[6, 8, 15, 17, 18, 19]","[11, 15, 16]"
35,13:55,16:20,"[7, 10, 20]","[1, 16, 17]"
36,16:52,12:08,"[3, 7, 9, 10, 11, 13]","[4, 7, 13, 15, 17]"
37,16:42,11:56,"[5, 9, 10, 14, 18, 19]","[6, 7, 9, 11, 12, 13]"
38,11:44,14:12,"[6, 11, 13, 15, 17]","[1, 9, 16, 17, 18]"
39,12:14,14:16,"[3, 6, 8, 13, 14, 18]","[3, 6, 17, 20]"
40,17:28,16:14,"[1, 2, 3, 5, 7]","[11, 12, 14]"
41,14:23,16:47,"[6, 7, 8, 9, 18]","[1, 7, 8, 15, 17]"
42,13:55,11:17,"[4, 5, 13, 14, 17]","[1, 3, 5, 6, 8, 18]"
43,14:19,17:33,"[12, 14, 16, 18, 19]","[7, 13, 14, 15, 17]"
44,15:52,11:13,"[4, 14, 19]","[2, 8, 11, 16]"
45,16:55,13:30,"[2, 8, 12]","[9, 10, 12, 20]"
46,13:32,13:22,"[1, 3, 10, 12, 13, 17]","[5, 11, 16, 20]"
47,11:32,16:02,"[1, 7, 8, 11]","[4, 6, 7, 8, 11]"
48,14:09,12:07,"[3, 7, 10, 19]","[4, 14, 16, 20]"
49,12:43,17:12,"[5, 7, 13, 16, 17]","[3, 8, 13, 20]"
50,13:35,16:57,"[1, 4, 8, 15, 20]","[1, 7, 12, 13, 16]"
51,14:52,14:46,"[2, 6, 9]","[6, 9, 13, 15, 17]"
52,15:22,12:49,"[4, 7, 20]","[5, 7, 9, 10, 15, 18]"
53,12:13,12:50,"[3, 5, 12]","[14, 17, 20]"
54,14:48,13:20,"[4, 13, 14, 15, 18]","[6, 10, 15]"
55,14:04,17:18,"[7, 9, 10, 16, 18]","[2, 3, 5, 8, 13, 19]"
56,14:30,13:20,"[1, 4, 10]","[2, 9, 14]"
57,12:35,16:50,"[7, 8, 12, 13, 15]","[7, 13, 14, 18]"
58,12:08,14:51,"[1, 3, 10, 19, 20]","[14, 16, 19, 20]"
59,13:31,15:49,"[7, 12, 14, 18]","[1, 2, 8, 10, 11, 18]"
60,15:00,16:52,"[8, 10, 11, 15, 20]","[7, 14, 15]"
61,11:28,13:35,"[1, 3, 6, 11, 19]","[4, 5, 7, 12, 20]"
62,11:10,16:36,"[1, 4, 8, 9, 11]","[2, 8, 10, 12]"
63,14:56,11:39,"[5, 14, 16, 20]","[1, 3, 9, 15, 17]"
64,15:38,14:33,"[2, 3, 5, 7, 13, 19]","[2, 4, 8, 15]"
65,13:50,11:58,"[6, 8, 12, 14, 18, 20]","[3, 4, 6, 7, 16, 18]"
66,14:04,11:12,"[2, 3, 13, 14]","[2, 5, 6, 7, 8, 14]"
67,16:17,16:45,"[3, 12, 14, 15, 18]","[2, 6, 18, 19]"
68,16:21,16:40,"[7, 12, 17]","[3, 4, 6, 7, 10, 16]"
69,15:10,12:02,"[7, 9, 16, 17]","[3, 7, 13, 20]"
70,13:39,17:05,"[3, 5, 12, 13, 14, 15]","[6, 8, 9, 11, 16, 20]"
71,13:27,11:03,"[2, 12, 15, 16, 17, 19]","[3, 8, 13, 18]"
72,12:47,14:14,"[1, 5, 7, 9, 13, 14]","[1, 2, 6, 7, 20]"
73,16:04,13:14,"[2, 12, 13]","[2, 8, 11, 12, 16, 19]"
74,17:09,12:33,"[1, 3, 4, 12, 14]","[1, 2, 5]"
75,12:53,13:19,"[1, 4, 15, 19]","[5, 6, 8, 16, 17]"
76,14:58,11:48,"[8, 9, 12, 15, 16, 19]","[1, 11, 14, 20]"
77,15:03,16:38,"[14, 17, 18]","[6, 12, 16, 18, 20]"
78,14:05,12:58,"[11, 12, 13, 16, 17]","[4, 8, 11, 13, 19, 20]"
79,11:41,17:33,"[11, 15, 17]","[2, 6, 14]"
80,16:47,16:23,"[1, 4, 10, 19, 20]","[4, 7, 16, 19]"
81,11:48,12:23,"[3, 11, 14, 19, 20]","[4, 5, 10, 11, 20]"
82,15:36,15:58,"[2, 10, 13, 14, 15]","[13, 15, 19]"
83,12:43,15:39,"[4, 6, 8, 11, 13, 15]","[1, 9, 11, 17, 19]"
84,12:56,12:03,"[4, 6, 11, 12, 17]","[3, 5, 11, 13, 14]"
85,12:21,14:18,"[6, 8, 16]","[1, 2, 16, 17, 18, 20]"
86,15:39,17:31,"[5, 9, 11, 13]","[6, 12, 13, 14]"
87,13:00,17:35,"[4, 5, 16, 19, 20]","[1, 3, 6, 12, 20]"
88,12:56,13:11,"[1, 9, 11, 16, 17, 20]","[6, 7, 8, 11, 17]"
89,13:31,11:19,"[4, 5, 6, 7, 9]","[1, 4, 8, 11, 16]"
90,11:30,14:18,"[3, 8, 13, 17, 18]","[2, 3, 5, 9, 15, 20]"
91,15:59,15:06,"[5, 9, 14, 19, 20]","[1, 2, 9, 12, 13, 16]"
92,16:39,16:18,"[10, 11, 15, 16, 17]","[2, 5, 8, 10, 12, 18]"
93,11:22,17:18,"[9, 12, 14, 15, 16]","[5, 11, 12]"
94,15:17,13:24,"[3, 6, 8, 12, 14, 20]","[4, 7, 11, 15]"
95,15:33,12:59,"[2, 12, 14, 17, 19]","[6, 12, 13, 14, 18]"
96,12:28,14:16,"[6, 7, 13, 18]","[4, 13, 14, 15]"
97,14:51,14:40,"[7, 9, 10, 20]","[3, 6, 16, 20]"
98,13:38,15:38,"[3, 5, 8, 10, 11, 16]","[1, 9, 10, 19]"
99,11:43,14:01,"[2, 3, 11, 13]","[1, 7, 20]"
100,16:05,12:32,"[3, 4, 11, 12, 14, 17]","[10, 13, 17, 18, 19, 20]"
