student_id,arrival_time_day_1,arrival_time_day_2,preference_day_1,preference_day_2
1,14:03,15:48,"[2, 5, 3, 6, 1]","[6, 5, 2, 3]"
2,14:50,12:02,"[2, 3, 4, 5]","[2, 3, 4]"
3,17:38,16:51,"[1, 3, 2]","[2, 1]"
4,13:12,12:10,"[4, 5, 3]","[2, 4, 3, 1, 6]"
5,16:45,13:50,"[4, 2, 1, 5, 3]","[3, 2]"
6,11:44,16:16,"[1, 5, 3]","[6, 3, 4, 2]"
7,16:26,16:56,"[2, 4, 1, 6]","[6, 4, 1, 2]"
8,16:12,11:09,"[2, 5, 1]","[3, 1]"
9,12:16,16:31,"[3, 6]","[1, 3, 2, 6, 4]"
10,12:14,15:50,"[2, 3, 1, 4, 6]","[6, 3, 4, 1, 2]"
11,14:47,11:24,"[5, 3, 2, 6, 1]","[1, 6, 5]"
12,12:13,15:25,"[5, 3, 4, 1, 2]","[6, 2, 5, 1]"
13,16:30,15:11,"[6, 5, 4, 1, 3]","[2, 3, 5, 6, 1]"
14,17:37,15:59,"[1, 5, 3]","[4, 1, 2]"
15,12:22,17:33,"[3, 6, 1]","[3, 2, 6, 5, 1]"
16,13:41,13:39,"[4, 1, 3, 5, 6]","[3, 2, 1]"
17,16:58,15:07,"[1, 4, 5, 3, 6]","[3, 2]"
18,17:25,11:44,"[3, 4]","[6, 2, 3, 5]"
19,11:08,17:16,"[1, 2, 3, 5]","[6, 3, 4, 2]"
20,11:44,13:49,"[6, 1, 2, 3]","[1, 2]"
21,12:43,13:28,"[2, 1, 6]","[3, 1, 6, 5, 2]"
22,13:47,17:31,"[6, 2, 3]","[5, 6]"
23,16:16,14:02,"[2, 6, 4]","[5, 6, 3, 2, 4]"
24,12:33,15:59,"[6, 3, 2, 4, 1]","[4, 3, 1]"
25,15:45,11:59,"[2, 1, 3, 4, 6]","[4, 1, 3]"
26,11:10,11:46,"[5, 2]","[1, 4, 6, 5, 2]"
27,15:16,13:41,"[4, 3, 2, 6]","[6, 1, 5]"
28,15:18,15:24,"[6, 3, 1, 5, 4]","[5, 4]"
29,16:28,16:05,"[3, 5, 1]","[2, 4, 5]"
30,17:22,14:18,"[1, 3, 6, 4]","[3, 2, 1]"
31,15:09,13:43,"[2, 6]","[6, 2]"
32,13:28,16:43,"[2, 5]","[6, 2]"
33,11:27,11:22,"[4, 2, 1, 6, 3]","[1, 5]"
34,13:39,15:05,"[5, 1]","[3, 5, 2, 6, 4]"
35,15:15,16:18,"[2, 1, 5]","[1, 4]"
36,15:49,16:01,"[5, 6]","[6, 5]"
37,16:30,11:14,"[5, 1, 3, 2]","[2, 1, 5]"
38,11:18,13:41,"[3, 5, 1]","[1, 3]"
39,12:48,15:24,"[3, 2, 5, 6, 4]","[6, 5, 4]"
40,17:03,14:35,"[2, 3, 1]","[2, 3, 4, 1, 6]"
41,14:17,17:04,"[2, 6, 4, 1, 3]","[4, 6, 5]"
42,14:09,11:04,"[2, 3, 1, 4]","[3, 1, 2, 4, 6]"
43,15:02,15:26,"[1, 4, 2, 5]","[5, 6, 3, 2, 4]"
44,12:18,12:39,"[1, 4, 3]","[1, 2, 6]"
45,15:35,13:27,"[3, 4]","[1, 4, 6, 2, 5]"
46,14:04,15:41,"[2, 1, 4]","[2, 4, 5, 1, 3]"
47,16:55,15:35,"[4, 6]","[3, 6, 2]"
48,14:37,13:17,"[6, 5, 3, 2]","[2, 6, 4, 5, 1]"
49,15:58,13:24,"[4, 5, 1]","[1, 5, 6, 3, 4]"
50,16:20,13:17,"[6, 4, 3, 2]","[6, 3, 5]"
51,12:29,12:28,"[2, 3, 4, 1, 5]","[4, 1, 6, 5, 2]"
52,13:36,15:36,"[1, 5, 6]","[6, 4, 3, 2, 5]"
53,13:01,11:57,"[2, 1, 6]","[6, 5, 4]"
54,13:30,11:08,"[6, 4, 2, 3, 1]","[3, 5, 1, 4, 6]"
55,11:10,16:33,"[3, 2, 5, 6]","[6, 3, 2]"
56,17:30,16:35,"[5, 6, 1, 4]","[2, 1, 6, 4, 5]"
57,11:31,11:19,"[5, 2, 4, 6, 3]","[2, 6, 5]"
58,16:15,15:16,"[2, 4]","[4, 6]"
59,14:00,15:51,"[1, 2, 3, 6]","[5, 3, 2, 6, 1]"
60,14:36,13:02,"[1, 3, 6]","[2, 3, 6, 5]"
61,14:20,12:54,"[2, 4, 6]","[6, 2, 3, 1, 5]"
62,14:10,17:39,"[3, 4, 6, 1, 2]","[3, 6, 4, 1, 5]"
63,15:02,14:23,"[6, 1, 4, 5]","[5, 4]"
64,14:59,15:18,"[2, 3, 6, 4, 5]","[5, 2, 6]"
65,14:20,14:42,"[1, 6]","[4, 6]"
66,17:03,15:50,"[1, 3, 2, 5]","[2, 5, 4]"
67,11:23,17:29,"[1, 5, 3]","[5, 1, 2]"
68,17:24,15:47,"[2, 5, 3, 1, 4]","[1, 4, 3, 5]"
69,13:47,11:04,"[5, 2, 4, 3, 1]","[2, 3]"
70,11:03,11:03,"[2, 1, 4, 6]","[6, 2, 3]"
71,16:56,13:14,"[4, 3]","[1, 4, 5]"
72,14:10,16:30,"[3, 1, 6]","[4, 1, 5]"
73,11:23,16:03,"[3, 6, 5, 1]","[1, 6, 4]"
74,11:01,13:47,"[4, 3, 2]","[3, 2]"
75,16:26,15:05,"[2, 5, 6, 1, 4]","[3, 5]"
76,16:24,14:56,"[1, 2]","[3, 5, 1, 4, 2]"
77,13:42,12:54,"[6, 3]","[5, 3, 6, 4]"
78,14:25,15:36,"[3, 2, 4]","[6, 5, 2]"
79,13:49,14:43,"[4, 1]","[1, 3, 5, 6]"
