Day,Time,Event,len(Queue)
1,11:07,Student 35 arrives Art Fair,NA
1,11:10,Student 35 arrives at booth 6,1
1,11:11,Student 3 arrives Art Fair,NA
1,11:14,Student 3 arrives at booth 5,1
1,11:14,Student 45 arrives Art Fair,NA
1,11:14,Student 48 arrives Art Fair,NA
1,11:14,Student 35 departs at booth 6,0
1,11:15,Student 35 arrives at booth 8,1
1,11:15,Student 45 arrives at booth 2,1
1,11:16,Student 45 departs at booth 2,0
1,11:16,Student 3 departs at booth 5,0
1,11:16,Student 3 arrives at booth 6,1
1,11:17,Student 41 arrives Art Fair,NA
1,11:17,Student 35 departs at booth 8,0
1,11:18,Student 48 arrives at booth 8,1
1,11:19,Student 35 arrives at booth 12,1
1,11:19,Student 41 arrives at booth 4,1
1,11:19,Student 45 arrives at booth 7,1
1,11:20,Student 69 arrives Art Fair,NA
1,11:20,Student 3 departs at booth 6,0
1,11:20,Student 48 departs at booth 8,0
1,11:21,Student 11 arrives Art Fair,NA
1,11:21,Student 48 arrives at booth 9,1
1,11:21,Student 45 departs at booth 7,0
1,11:21,Student 35 departs at booth 12,0
1,11:22,Student 3 arrives at booth 9,1
1,11:22,Student 11 arrives at booth 1,1
1,11:22,Student 69 arrives at booth 3,1
1,11:22,Student 41 departs at booth 4,0
1,11:22,Student 48 departs at booth 9,1
1,11:23,Student 41 arrives at booth 6,1
1,11:23,Student 69 departs at booth 3,0
1,11:23,Student 3 departs at booth 9,0
1,11:23,Student 69 arrives at booth 4,1
1,11:24,Student 3 arrives at booth 12,1
1,11:24,Student 35 arrives at booth 18,1
1,11:24,Student 45 arrives at booth 13,1
1,11:25,Student 48 arrives at booth 15,1
1,11:25,Student 35 departs at booth 18,0
1,11:26,Student 92 arrives Art Fair,NA
1,11:26,Student 69 departs at booth 4,0
1,11:26,Student 3 departs at booth 12,0
1,11:27,Student 35 departs Art Fair,NA
1,11:27,Student 41 departs at booth 6,0
1,11:28,Student 69 arrives at booth 8,1
1,11:28,Student 92 arrives at booth 4,1
1,11:29,Student 3 arrives at booth 17,1
1,11:30,Student 29 arrives Art Fair,NA
1,11:30,Student 41 arrives at booth 12,1
1,11:30,Student 69 departs at booth 8,0
1,11:30,Student 3 departs at booth 17,0
1,11:31,Student 29 arrives at booth 1,1
1,11:31,Student 69 arrives at booth 10,1
1,11:31,Student 92 departs at booth 4,0
1,11:31,Student 45 departs at booth 13,0
1,11:32,Student 3 departs Art Fair,NA
1,11:32,Student 11 departs at booth 1,1
1,11:32,Student 41 departs at booth 12,0
1,11:33,Student 22 arrives Art Fair,NA
1,11:33,Student 45 arrives at booth 17,1
1,11:33,Student 69 departs at booth 10,0
1,11:34,Student 22 arrives at booth 2,1
1,11:34,Student 41 arrives at booth 15,1
1,11:34,Student 69 arrives at booth 11,1
1,11:34,Student 48 departs at booth 15,1
1,11:34,Student 45 departs at booth 17,0
1,11:34,Student 48 arrives at booth 16,1
1,11:35,Student 37 arrives Art Fair,NA
1,11:35,Student 85 arrives Art Fair,NA
1,11:35,Student 22 departs at booth 2,0
1,11:36,Student 22 arrives at booth 3,1
1,11:36,Student 83 arrives Art Fair,NA
1,11:36,Student 85 arrives at booth 1,1
1,11:36,Student 92 arrives at booth 14,1
1,11:36,Student 48 departs at booth 16,0
1,11:37,Student 37 arrives at booth 4,1
1,11:37,Student 48 arrives at booth 17,1
1,11:37,Student 22 departs at booth 3,0
1,11:38,Student 11 arrives at booth 13,1
1,11:38,Student 48 departs at booth 17,0
1,11:40,Student 45 arrives at booth 5,1
1,11:40,Student 48 departs Art Fair,NA
1,11:40,Student 83 arrives at booth 8,1
1,11:40,Student 86 arrives Art Fair,NA
1,11:40,Student 37 departs at booth 4,0
1,11:41,Student 22 arrives at booth 12,1
1,11:42,Student 29 departs at booth 1,1
1,11:42,Student 45 departs at booth 5,0
1,11:42,Student 83 departs at booth 8,0
1,11:42,Student 29 arrives at booth 2,1
1,11:43,Student 83 arrives at booth 9,1
1,11:43,Student 29 departs at booth 2,0
1,11:43,Student 22 departs at booth 12,0
1,11:43,Student 41 departs at booth 15,0
1,11:43,Student 41 arrives at booth 16,1
1,11:44,Student 29 arrives at booth 3,1
1,11:44,Student 83 departs at booth 9,0
1,11:44,Student 69 departs at booth 11,0
1,11:45,Student 37 arrives at booth 13,1
1,11:45,Student 45 departs Art Fair,NA
1,11:45,Student 69 arrives at booth 13,2
1,11:45,Student 83 arrives at booth 12,1
1,11:45,Student 29 departs at booth 3,0
1,11:45,Student 11 departs at booth 13,2
1,11:45,Student 41 departs at booth 16,0
1,11:46,Student 11 arrives at booth 15,1
1,11:46,Student 22 arrives at booth 18,1
1,11:46,Student 86 arrives at booth 11,1
1,11:46,Student 92 departs at booth 14,0
1,11:47,Student 29 arrives at booth 8,1
1,11:47,Student 92 arrives at booth 15,1
1,11:47,Student 83 departs at booth 12,0
1,11:47,Student 22 departs at booth 18,0
1,11:48,Student 41 arrives at booth 9,1
1,11:49,Student 83 arrives at booth 16,1
1,11:49,Student 29 departs at booth 8,0
1,11:49,Student 41 departs at booth 9,0
1,11:51,Student 83 departs at booth 16,0
1,11:52,Student 83 arrives at booth 17,1
1,11:52,Student 85 departs at booth 1,0
1,11:52,Student 37 departs at booth 13,1
1,11:53,Student 83 departs at booth 17,0
1,11:54,Student 22 arrives at booth 4,1
1,11:54,Student 29 arrives at booth 18,1
1,11:54,Student 41 departs Art Fair,NA
1,11:55,Student 37 arrives at booth 20,1
1,11:55,Student 83 departs Art Fair,NA
1,11:55,Student 11 departs at booth 15,1
1,11:55,Student 29 departs at booth 18,0
1,11:56,Student 29 arrives at booth 15,1
1,11:56,Student 86 departs at booth 11,0
1,11:57,Student 22 departs at booth 4,0
1,11:57,Student 37 departs at booth 20,0
1,11:58,Student 11 departs Art Fair,NA
1,11:59,Student 22 departs Art Fair,NA
1,11:59,Student 37 arrives at booth 15,2
1,11:59,Student 85 arrives at booth 16,1
1,11:59,Student 86 arrives at booth 17,1
1,11:59,Student 69 departs at booth 13,0
1,12:00,Student 86 departs at booth 17,0
1,12:01,Student 85 departs at booth 16,0
1,12:02,Student 53 arrives Art Fair,NA
1,12:02,Student 85 arrives at booth 18,1
1,12:03,Student 46 arrives Art Fair,NA
1,12:03,Student 69 departs Art Fair,NA
1,12:03,Student 81 arrives Art Fair,NA
1,12:03,Student 85 departs at booth 18,0
1,12:04,Student 32 arrives Art Fair,NA
1,12:04,Student 46 arrives at booth 2,1
1,12:04,Student 85 arrives at booth 15,3
1,12:04,Student 92 departs at booth 15,3
1,12:05,Student 32 arrives at booth 2,1
1,12:05,Student 81 arrives at booth 4,1
1,12:05,Student 46 departs at booth 2,1
1,12:06,Student 53 arrives at booth 7,1
1,12:06,Student 32 departs at booth 2,0
1,12:07,Student 92 departs Art Fair,NA
