student_id,arrival_time_day_1,arrival_time_day_2,preference_day_1,preference_day_2
1,16:11,11:52,"[3, 16, 19]","[1, 2, 5, 9, 19]"
2,16:17,11:33,"[11, 12, 16]","[1, 7, 9, 14, 16, 18]"
3,14:25,13:35,"[4, 7, 9, 18, 19, 20]","[3, 11, 12, 14]"
4,12:34,14:13,"[4, 9, 14, 15]","[2, 4, 7, 10, 19]"
5,15:41,16:25,"[7, 12, 16, 17, 19]","[1, 8, 12, 17]"
6,17:07,12:45,"[10, 12, 14, 19, 20]","[3, 4, 7, 17]"
7,14:43,16:36,"[4, 9, 10, 20]","[7, 8, 13, 16]"
8,11:48,15:50,"[5, 7, 17, 20]","[1, 6, 7]"
9,14:54,15:41,"[1, 11, 18]","[10, 12, 13, 17, 20]"
10,13:29,13:48,"[5, 10, 13]","[2, 6, 16]"
11,13:40,15:53,"[4, 8, 13, 14, 15, 20]","[3, 13, 15, 20]"
12,15:46,15:58,"[3, 14, 17]","[3, 10, 14, 16]"
13,15:29,16:42,"[7, 9, 15, 16]","[1, 4, 6, 18]"
14,16:33,11:15,"[7, 9, 12, 15, 17, 19]","[9, 11, 17]"
15,11:16,16:24,"[5, 9, 14, 16, 20]","[10, 11, 12, 13, 15, 16]"
16,17:30,16:18,"[6, 9, 13, 20]","[11, 13, 16]"
17,13:00,12:28,"[1, 6, 10, 18, 20]","[1, 2, 6, 15]"
18,17:30,13:49,"[4, 12, 19, 20]","[2, 12, 16, 19]"
19,17:39,14:14,"[5, 7, 9]","[1, 14, 16, 17, 20]"
20,13:24,11:06,"[3, 4, 8, 12, 16]","[5, 8, 11, 12, 20]"
21,15:56,12:19,"[2, 4, 5, 16]","[1, 3, 15, 18]"
22,11:52,11:31,"[3, 5, 6, 9, 20]","[1, 15, 16]"
23,17:39,14:32,"[5, 7, 15, 16, 18]","[3, 9, 10, 16, 19]"
24,11:08,15:00,"[2, 3, 10, 12]","[9, 12, 14, 15, 16, 17]"
25,12:15,14:01,"[2, 3, 8, 18, 20]","[2, 6, 11]"
26,12:32,14:26,"[2, 7, 12]","[3, 4, 6, 11, 14]"
27,17:28,17:05,"[3, 5, 13, 15, 16, 18]","[1, 3, 5, 12, 17]"
28,16:55,15:59,"[5, 6, 10, 17, 19]","[5, 8, 13, 19]"
29,11:14,13:27,"[6, 8, 11, 14, 18, 19]","[1, 7, 11, 13, 19]"
30,12:14,13:54,"[13, 15, 17]","[1, 13, 17, 18]"
31,13:26,12:16,"[5, 8, 18]","[6, 9, 12]"
32,11:30,11:35,"[5, 6, 13]","[1, 2, 3, 4, 16, 18]"
33,12:10,17:02,"[2, 4, 12, 20]","[2, 8, 14, 18, 19]"
34,15:15,17:25,"[2, 3, 10, 16, 19]","[2, 4, 6, 15]"
35,14:02,12:22,"[1, 10, 14]","[7, 8, 9, 15]"
36,17:19,16:24,"[1, 7, 9, 17, 18, 19]","[3, 11, 17, 19]"
37,15:14,16:02,"[1, 2, 4, 8, 12, 20]","[1, 2, 5, 11, 12, 14]"
38,12:22,15:19,"[1, 3, 11]","[1, 3, 9, 15, 16]"
39,13:25,14:23,"[5, 8, 9, 14, 19, 20]","[6, 8, 13, 18]"
40,13:47,11:25,"[9, 14, 16, 17, 19, 20]","[2, 5, 9, 10]"
41,11:23,16:55,"[4, 6, 7, 15, 19]","[1, 4, 5, 6, 17, 19]"
42,12:03,15:21,"[13, 16, 17]","[5, 7, 13, 15, 16, 18]"
43,16:59,15:07,"[1, 9, 11, 14]","[5, 10, 11, 12, 19]"
44,14:16,11:16,"[1, 8, 10, 12]","[3, 6, 14]"
45,15:11,17:35,"[3, 7, 8, 20]","[5, 13, 14, 17]"
46,11:56,16:55,"[2, 11, 12, 16, 17, 19]","[3, 5, 9, 13]"
47,14:29,12:00,"[2, 4, 5, 17, 19, 20]","[3, 4, 7, 12, 17]"
48,14:14,14:41,"[5, 6, 8, 11, 15, 16]","[4, 5, 7, 15, 20]"
49,12:20,17:31,"[5, 12, 19]","[1, 3, 9, 11]"
50,13:51,14:55,"[1, 2, 15, 16]","[1, 2, 4, 9, 11]"
51,11:06,12:20,"[11, 13, 20]","[4, 5, 12, 13, 16]"
52,17:18,16:23,"[1, 4, 5, 12, 15, 18]","[1, 5, 16, 18]"
53,14:39,12:59,"[3, 4, 9, 13, 16]","[6, 7, 18]"
54,15:27,15:16,"[9, 10, 11, 12, 15, 18]","[9, 15, 18]"
55,11:32,11:19,"[2, 8, 17, 18]","[1, 9, 16, 17, 18, 20]"
56,14:57,11:41,"[1, 2, 6, 11]","[5, 7, 10, 19]"
57,15:28,17:06,"[2, 9, 10]","[6, 7, 12]"
58,14:09,13:16,"[1, 3, 20]","[6, 8, 12, 16, 19]"
59,11:43,11:14,"[4, 12, 13, 16, 18, 20]","[2, 3, 14]"
60,12:32,12:37,"[7, 8, 9, 15, 19, 20]","[2, 9, 16, 17]"
61,12:56,13:00,"[9, 10, 12, 17]","[4, 6, 9, 12, 14, 18]"
62,12:33,11:11,"[2, 3, 4, 11, 15, 17]","[3, 6, 14, 18]"
63,15:10,17:06,"[1, 3, 9, 10, 12]","[3, 4, 12, 13, 19]"
64,16:04,16:11,"[1, 8, 9, 10, 15, 16]","[2, 13, 17, 18]"
65,15:14,12:16,"[1, 4, 5, 8, 9, 10]","[1, 4, 5, 9, 13, 18]"
66,17:16,14:40,"[3, 6, 7, 9, 16]","[1, 4, 5, 7, 20]"
67,12:15,15:54,"[11, 14, 15, 16, 19, 20]","[6, 7, 11, 15, 18, 20]"
68,17:14,16:03,"[4, 5, 8]","[8, 12, 13, 15, 19]"
69,17:06,12:17,"[1, 7, 8, 9, 19, 20]","[8, 13, 14, 19]"
70,16:32,16:22,"[2, 4, 11, 12, 16]","[9, 13, 14]"
71,12:14,12:16,"[2, 10, 12, 17, 19]","[6, 10, 14, 19]"
72,13:44,11:35,"[10, 16, 19]","[4, 6, 8, 15, 19]"
73,17:16,11:14,"[3, 11, 12, 14, 15, 19]","[14, 15, 16]"
74,13:52,15:39,"[1, 3, 4, 20]","[2, 14, 16]"
75,12:10,13:16,"[1, 12, 17]","[6, 12, 16, 18]"
76,11:06,16:57,"[1, 3, 4, 13, 19, 20]","[8, 12, 18, 20]"
77,13:48,14:31,"[1, 9, 12, 13, 17, 20]","[6, 10, 12, 14, 16, 20]"
78,13:19,16:03,"[1, 2, 7, 12, 18]","[1, 2, 4, 14, 16, 18]"
79,17:27,14:02,"[7, 11, 16]","[5, 7, 12]"
80,15:14,11:43,"[2, 4, 7, 8, 9, 14]","[5, 8, 9, 12, 16]"
81,14:36,14:52,"[2, 7, 13, 17, 18]","[1, 2, 3, 4, 14, 17]"
82,13:27,14:09,"[7, 17, 20]","[4, 6, 11, 16, 17, 19]"
83,11:16,12:25,"[1, 7, 8, 11, 15]","[5, 7, 10, 18, 19, 20]"
84,14:21,16:15,"[1, 4, 7, 10, 13, 17]","[7, 14, 18]"
85,13:39,12:41,"[16, 18, 20]","[3, 14, 18, 20]"
86,12:38,11:03,"[5, 6, 7, 10, 20]","[2, 7, 10, 13, 14, 15]"
87,16:12,14:50,"[7, 8, 10]","[2, 11, 12, 13, 14, 17]"
88,14:50,15:32,"[5, 9, 10, 14, 20]","[7, 15, 17, 20]"
89,15:14,14:29,"[1, 3, 5, 6, 18]","[8, 9, 18]"
90,14:03,15:54,"[1, 7, 15, 20]","[2, 10, 13, 16, 18]"
91,16:46,15:39,"[4, 11, 12]","[5, 10, 18]"
92,16:45,15:33,"[1, 3, 5, 9, 11, 19]","[1, 4, 12, 17, 19, 20]"
93,13:09,13:40,"[7, 8, 10, 20]","[1, 3, 7, 14, 20]"
94,11:02,13:56,"[7, 11, 12, 13, 14, 19]","[2, 6, 8, 18, 19, 20]"
95,14:01,13:23,"[6, 8, 9, 10, 17]","[6, 8, 10, 12, 19, 20]"
96,12:50,13:34,"[3, 5, 6, 15, 18, 19]","[2, 3, 4, 18]"
97,13:45,13:38,"[2, 9, 12, 13, 15]","[8, 11, 14, 15, 17, 19]"
98,15:18,12:29,"[2, 3, 8, 13, 18, 20]","[13, 14, 17]"
99,13:38,15:36,"[4, 11, 15, 17, 19, 20]","[3, 4, 6, 20]"
100,16:01,17:11,"[4, 7, 8, 16]","[1, 6, 12, 18]"
